aggr5_0_score,aggr5_10_multiple_score,aggr5_10_single_score,aggr5_15_multiple_score,aggr5_15_single_score,aggr5_20_multiple_score,aggr5_20_single_score,aggr5_5_multiple_score,aggr5_5_single_score,aggr5_augmented_score,aggr7_0_score,aggr7_10_multiple_score,aggr7_10_single_score,aggr7_15_multiple_score,aggr7_15_single_score,aggr7_20_multiple_score,aggr7_20_single_score,aggr7_5_multiple_score,aggr7_5_single_score
0.540,0.406,0.505,0.333,0.000,0.406,0.392,0.392,0.000,0.000,0.295,0.000,0.000,0.295,0.406,0.000,0.000,0.000,0.000
0.584,0.735,0.540,0.000,0.540,0.406,0.505,0.000,0.445,0.392,0.000,0.406,0.406,0.000,0.333,0.420,0.406,0.367,0.000
0.392,0.640,0.000,0.000,0.000,0.306,0.459,0.605,0.392,0.392,0.445,0.333,0.367,0.000,0.387,0.406,0.000,0.000,0.000
0.000,0.559,0.000,0.000,0.000,0.000,0.387,0.000,0.333,0.550,0.655,0.406,0.445,0.480,0.000,0.000,0.392,0.406,0.000
0.000,0.387,0.000,0.333,0.000,0.000,0.406,0.000,0.406,0.000,0.000,0.000,0.649,0.225,0.294,0.000,0.000,0.333,0.000
0.333,0.000,0.000,0.000,0.333,0.441,0.000,0.000,0.406,0.000,0.000,0.333,0.333,0.000,0.000,0.333,0.000,0.406,0.000
0.406,0.000,0.392,0.655,0.333,0.392,0.000,0.392,0.392,0.333,0.000,0.000,0.000,0.000,0.520,0.000,0.000,0.000,0.000
0.000,0.000,0.406,0.000,0.520,0.000,0.680,0.000,0.459,0.559,0.000,0.605,0.000,0.392,0.465,0.568,0.580,0.000,0.703
0.000,0.705,0.406,0.000,0.000,0.000,0.333,0.000,0.406,0.000,0.367,0.406,0.333,0.618,0.000,0.000,0.531,0.000,0.406
0.000,0.000,0.000,0.333,0.000,0.396,0.000,0.000,0.000,0.000,0.000,0.406,0.000,0.000,0.645,0.000,0.000,0.000,0.000
0.445,0.000,0.000,0.392,0.680,0.559,0.000,0.000,0.000,0.000,0.406,0.000,0.387,0.445,0.000,0.000,0.000,0.000,0.540
0.000,0.387,0.000,0.406,0.575,0.000,0.000,0.367,0.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.560,0.000
0.333,0.545,0.672,0.000,0.500,0.000,0.392,0.000,0.000,0.580,0.367,0.000,0.406,0.000,0.000,0.333,0.000,0.406,0.000
0.392,0.000,0.000,0.503,0.535,0.000,0.550,0.000,0.392,0.392,0.542,0.485,0.531,0.000,0.000,0.000,0.416,0.000,0.542
0.580,0.410,0.000,0.392,0.757,0.387,0.294,0.595,0.740,0.333,0.000,0.000,0.000,0.491,0.000,0.640,0.000,0.000,0.000
0.000,0.333,0.540,0.543,0.000,0.295,0.000,0.333,0.547,0.313,0.000,0.593,0.000,0.000,0.416,0.000,0.000,0.000,0.406
0.000,0.333,0.455,0.000,0.000,0.000,0.505,0.000,0.459,0.000,0.455,0.000,0.000,0.000,0.367,0.505,0.593,0.000,0.000
0.387,0.503,0.392,0.406,0.000,0.432,0.000,0.560,0.294,0.406,0.682,0.000,0.333,0.485,0.713,0.000,0.000,0.313,0.000
0.428,0.000,0.000,0.000,0.000,0.333,0.522,0.295,0.000,0.392,0.000,0.367,0.445,0.406,0.000,0.491,0.000,0.538,0.505
0.000,0.367,0.000,0.000,0.655,0.000,0.000,0.392,0.000,0.525,0.000,0.000,0.000,0.541,0.505,0.000,0.000,0.000,0.000
0.367,0.580,0.445,0.000,0.396,0.000,0.000,0.000,0.333,0.000,0.459,0.000,0.000,0.000,0.000,0.000,0.406,0.367,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.649,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333
0.000,0.000,0.387,0.387,0.593,0.000,0.000,0.333,0.000,0.605,0.000,0.605,0.416,0.000,0.000,0.465,0.000,0.000,0.000
0.295,0.459,0.000,0.367,0.608,0.406,0.387,0.333,0.584,0.000,0.367,0.406,0.437,0.560,0.640,0.000,0.529,0.000,0.455
0.000,0.416,0.392,0.000,0.000,0.367,0.000,0.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.538,0.600,0.480,0.480,0.605,0.000,0.445,0.000,0.313,0.295,0.525,0.367,0.559,0.000,0.367,0.000
0.410,0.459,0.000,0.410,0.540,0.000,0.392,0.000,0.000,0.000,0.406,0.000,0.000,0.000,0.000,0.705,0.392,0.000,0.000
0.575,0.294,0.392,0.773,0.000,0.000,0.703,0.000,0.392,0.333,0.500,0.000,0.000,0.612,0.672,0.660,0.000,0.000,0.000
0.396,0.396,0.000,0.640,0.000,0.333,0.392,0.000,0.000,0.000,0.605,0.513,0.525,0.000,0.000,0.000,0.396,0.000,0.505
0.406,0.000,0.406,0.529,0.406,0.000,0.480,0.000,0.387,0.445,0.000,0.000,0.575,0.000,0.000,0.000,0.000,0.000,0.000
0.660,0.000,0.000,0.541,0.445,0.000,0.575,0.406,0.000,0.740,0.639,0.000,0.480,0.000,0.000,0.640,0.000,0.000,0.000
0.000,0.406,0.000,0.387,0.000,0.000,0.584,0.000,0.000,0.000,0.000,0.387,0.612,0.348,0.000,0.333,0.294,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.544,0.387,0.540,0.655,0.667,0.000,0.593,0.000,0.000,0.612,0.000,0.416,0.000
0.505,0.367,0.680,0.333,0.445,0.000,0.295,0.428,0.392,0.392,0.406,0.000,0.387,0.455,0.000,0.000,0.000,0.649,0.323
0.520,0.441,0.525,0.333,0.000,0.367,0.410,0.416,0.000,0.396,0.525,0.000,0.000,0.000,0.000,0.225,0.367,0.294,0.000
0.333,0.550,0.000,0.675,0.000,0.682,0.000,0.445,0.000,0.703,0.000,0.773,0.000,0.474,0.000,0.000,0.000,0.538,0.612
0.333,0.000,0.445,0.367,0.505,0.000,0.392,0.333,0.000,0.425,0.000,0.416,0.605,0.000,0.682,0.416,0.000,0.459,0.575
0.392,0.540,0.406,0.630,0.387,0.000,0.000,0.000,0.000,0.520,0.000,0.605,0.000,0.406,0.000,0.000,0.000,0.480,0.000
0.000,0.416,0.416,0.000,0.000,0.000,0.440,0.593,0.000,0.500,0.645,0.416,0.000,0.000,0.000,0.000,0.000,0.000,0.525
