aggr5_0,aggr5_10_multiple,aggr5_10_single,aggr5_15_multiple,aggr5_15_single,aggr5_20_multiple,aggr5_20_single,aggr5_5_multiple,aggr5_5_single,aggr5_augmented,aggr7_0,aggr7_10_multiple,aggr7_10_single,aggr7_15_multiple,aggr7_15_single,aggr7_20_multiple,aggr7_20_single,aggr7_5_multiple,aggr7_5_single
0.0,0.367,0.0,0.0,0.655,0.0,0.0,0.392,0.0,0.525,0.0,0.0,0.0,0.541,0.505,0.0,0.0,0.0,0.0
0.367,0.58,0.445,0.0,0.396,0.0,0.0,0.0,0.333,0.0,0.459,0.0,0.0,0.0,0.0,0.0,0.406,0.367,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.649,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333
0.0,0.0,0.387,0.387,0.593,0.0,0.0,0.333,0.0,0.605,0.0,0.605,0.416,0.0,0.0,0.465,0.0,0.0,0.0
0.295,0.459,0.0,0.367,0.608,0.406,0.387,0.333,0.584,0.0,0.367,0.406,0.437,0.56,0.64,0.0,0.529,0.0,0.455
0.0,0.416,0.392,0.0,0.0,0.367,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.538,0.6,0.48,0.48,0.605,0.0,0.445,0.0,0.313,0.295,0.525,0.367,0.559,0.0,0.367,0.0
0.41,0.459,0.0,0.41,0.54,0.0,0.392,0.0,0.0,0.0,0.406,0.0,0.0,0.0,0.0,0.705,0.392,0.0,0.0
0.575,0.294,0.392,0.773,0.0,0.0,0.703,0.0,0.392,0.333,0.5,0.0,0.0,0.612,0.672,0.66,0.0,0.0,0.0
0.396,0.396,0.0,0.64,0.0,0.333,0.392,0.0,0.0,0.0,0.605,0.513,0.525,0.0,0.0,0.0,0.396,0.0,0.505
0.406,0.0,0.406,0.529,0.406,0.0,0.48,0.0,0.387,0.445,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.541,0.445,0.0,0.575,0.406,0.0,0.74,0.639,0.0,0.48,0.0,0.0,0.64,0.0,0.0,0.0
0.0,0.406,0.0,0.387,0.0,0.0,0.584,0.0,0.0,0.0,0.0,0.387,0.612,0.348,0.0,0.333,0.294,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.544,0.387,0.54,0.655,0.667,0.0,0.593,0.0,0.0,0.612,0.0,0.416,0.0
0.505,0.367,0.68,0.333,0.445,0.0,0.295,0.428,0.392,0.392,0.406,0.0,0.387,0.455,0.0,0.0,0.0,0.649,0.323
0.52,0.441,0.525,0.333,0.0,0.367,0.41,0.416,0.0,0.396,0.525,0.0,0.0,0.0,0.0,0.225,0.367,0.294,0.0
0.333,0.55,0.0,0.675,0.0,0.682,0.0,0.445,0.0,0.703,0.0,0.773,0.0,0.474,0.0,0.0,0.0,0.538,0.612
0.333,0.0,0.445,0.367,0.505,0.0,0.392,0.333,0.0,0.425,0.0,0.416,0.605,0.0,0.682,0.416,0.0,0.459,0.575
0.392,0.54,0.406,0.63,0.387,0.0,0.0,0.0,0.0,0.52,0.0,0.605,0.0,0.406,0.0,0.0,0.0,0.48,0.0
0.0,0.416,0.416,0.0,0.0,0.0,0.44,0.593,0.0,0.5,0.645,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.525
0.513,0.387,0.0,0.0,0.367,0.0,0.367,0.54,0.333,0.541,0.0,0.474,0.538,0.0,0.0,0.396,0.0,0.0,0.396
0.56,0.0,0.0,0.0,0.0,0.0,0.387,0.598,0.0,0.425,0.605,0.0,0.406,0.406,0.367,0.0,0.0,0.0,0.575
0.333,0.0,0.392,0.545,0.72,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.459,0.605,0.0,0.64,0.0,0.0
0.0,0.0,0.0,0.0,0.333,0.0,0.524,0.0,0.406,0.406,0.0,0.0,0.0,0.387,0.0,0.0,0.0,0.0,0.0
0.0,0.406,0.0,0.0,0.0,0.0,0.295,0.0,0.406,0.0,0.0,0.0,0.584,0.0,0.333,0.0,0.58,0.505,0.0
0.0,0.445,0.445,0.538,0.387,0.0,0.387,0.313,0.406,0.505,0.605,0.645,0.0,0.0,0.0,0.294,0.392,0.0,0.52
0.425,0.0,0.333,0.538,0.333,0.0,0.396,0.682,0.416,0.333,0.0,0.682,0.485,0.682,0.0,0.0,0.406,0.525,0.0
0.367,0.0,0.0,0.406,0.0,0.0,0.294,0.352,0.0,0.0,0.294,0.58,0.406,0.0,0.672,0.0,0.66,0.406,0.352
0.645,0.333,0.392,0.392,0.392,0.392,0.333,0.314,0.392,0.0,0.0,0.0,0.406,0.0,0.333,0.0,0.406,0.66,0.54
0.0,0.56,0.0,0.682,0.0,0.387,0.0,0.0,0.0,0.522,0.0,0.313,0.0,0.333,0.605,0.0,0.0,0.367,0.0
0.505,0.0,0.0,0.477,0.593,0.682,0.445,0.333,0.0,0.655,0.0,0.0,0.0,0.406,0.0,0.0,0.0,0.605,0.0
0.225,0.559,0.333,0.0,0.0,0.406,0.0,0.64,0.0,0.0,0.0,0.557,0.387,0.0,0.0,0.0,0.416,0.491,0.333
0.672,0.0,0.0,0.5,0.367,0.584,0.0,0.0,0.0,0.0,0.0,0.225,0.333,0.491,0.0,0.0,0.672,0.0,0.48
0.406,0.0,0.532,0.392,0.0,0.406,0.406,0.367,0.416,0.406,0.0,0.593,0.0,0.0,0.0,0.0,0.333,0.0,0.0
0.48,0.406,0.0,0.0,0.445,0.333,0.455,0.445,0.0,0.392,0.0,0.645,0.505,0.0,0.0,0.0,0.0,0.593,0.0
0.333,0.0,0.459,0.392,0.0,0.0,0.0,0.515,0.703,0.367,0.0,0.0,0.0,0.0,0.0,0.491,0.559,0.0,0.0
